gsm,q0_00,q0_01,q0_05,q0_25,q0_50,q0_75,q0_95,q0_99,q1_00
GSM1154538,2.50275101777402,2.86794172384932,3.19286473440121,4.27084709534267,5.86153020399231,7.79548637514479,10.3586302736322,12.105937124663,14.4617705602857
GSM1154539,2.49708483964996,2.86794172384932,3.19281196788755,4.26579979288885,5.85838573399136,7.79269309038712,10.3535655908256,12.1125240734702,14.4552625635945
GSM1154540,2.45111138199989,2.86794172384932,3.18260735885346,4.24313479742042,5.86605582500417,7.83713330888256,10.3396476800096,12.1087680799976,14.4527996288953
GSM1154542,2.52002252206538,2.86467557807439,3.19940211848905,4.27409630798797,5.83978222715031,7.79031330099244,10.3696263391596,12.1396475782274,14.4882596459179
GSM1154530,2.51610315795717,2.87151988070548,3.17192686180745,4.25382050120957,5.91326553565233,7.82520225959381,10.3332262039104,12.1140956659771,14.4169017974145
GSM1154541,2.45327822219112,2.84458433402356,3.17340046068027,4.25738310220659,5.88150367954746,7.80492056981463,10.340408232651,12.1100544079957,14.48610239248
GSM1154547,2.39572430802204,2.85269979879003,3.17989432794079,4.26949550792832,5.87616413212327,7.80838547759797,10.3399640515291,12.1244766545451,14.4454952298499
GSM1154548,2.51201570219288,2.8735992015988,3.18832731915263,4.26516312484676,5.86224624259032,7.81365916477456,10.3423784886381,12.1273683016555,14.4686151028887
GSM1154549,2.47912599543659,2.85184612278204,3.14969472857359,4.2197737393333,5.89423527818359,7.84403979190206,10.3446989738856,12.1273776192666,14.4515502522841
GSM1154529,2.43999910318337,2.85350639961313,3.17938323275608,4.25480907052125,5.88494755531682,7.82468950902757,10.326444139367,12.133166989145,14.4200711116834
GSM1154531,2.54820246763545,2.87850498209793,3.20211587584812,4.28528890601912,5.86949001687826,7.80632029297774,10.3512187334152,12.136383741456,14.4741448437819
GSM1154532,2.54542914404434,2.86794172384932,3.18895596535416,4.28540934926428,5.89778785888891,7.79237105343962,10.3156901382641,12.1408531982876,14.4100201649879
GSM1154533,2.50060440633023,2.85624809845415,3.18462493858405,4.27388637545278,5.90035804926069,7.8151324339733,10.3324186590292,12.1285740725855,14.4083729301781
