gsm,GSM1154538,GSM1154539,GSM1154540,GSM1154542,GSM1154530,GSM1154541,GSM1154547,GSM1154548,GSM1154549,GSM1154529,GSM1154531,GSM1154532,GSM1154533
GSM1154538,1,0.996254363355175,0.994845394539748,0.995262780697565,0.975692689813458,0.978130925004034,0.983280275348716,0.972468694108667,0.981261416743841,0.972184141001144,0.980053687718356,0.97216776055811,0.967182540930492
GSM1154539,0.996254363355175,1,0.994682956629249,0.996052816195549,0.976300216601846,0.980309537569593,0.983704665773564,0.972569089303239,0.982354716250623,0.974047045313435,0.980824549227545,0.975730269502392,0.969039802394155
GSM1154540,0.994845394539748,0.994682956629249,1,0.994908132518105,0.979163640570196,0.981535472922283,0.985897652295942,0.975505019323922,0.983626997564412,0.977673166960629,0.98259838592,0.976698555225405,0.973751436162969
GSM1154542,0.995262780697565,0.996052816195549,0.994908132518105,1,0.976726167840563,0.980446512890005,0.984131261773178,0.973953418927776,0.981833542304236,0.975781427211996,0.982348541942168,0.976324161279147,0.970942849061283
GSM1154530,0.975692689813458,0.976300216601846,0.979163640570196,0.976726167840563,1,0.995915489202806,0.995777925333662,0.995747506861608,0.995117151728,0.985388661662243,0.985929444932337,0.984245582821146,0.982657114044911
GSM1154541,0.978130925004034,0.980309537569593,0.981535472922283,0.980446512890005,0.995915489202806,1,0.996665234567321,0.995271044146306,0.995471122408451,0.987345843008194,0.988168931025882,0.987388791759926,0.984268122581531
GSM1154547,0.983280275348716,0.983704665773564,0.985897652295942,0.984131261773178,0.995777925333662,0.996665234567321,1,0.994929680388257,0.996429903338048,0.98662157104426,0.988536338857444,0.985182272540946,0.983764489104769
GSM1154548,0.972468694108667,0.972569089303239,0.975505019323922,0.973953418927776,0.995747506861608,0.995271044146306,0.994929680388257,1,0.993363135047024,0.985045820954213,0.985985402530885,0.983461929445655,0.982693836669782
GSM1154549,0.981261416743841,0.982354716250623,0.983626997564412,0.981833542304236,0.995117151728,0.995471122408451,0.996429903338048,0.993363135047024,1,0.98542519173754,0.986740095553974,0.984668932631655,0.982986896955958
GSM1154529,0.972184141001144,0.974047045313435,0.977673166960629,0.975781427211996,0.985388661662243,0.987345843008194,0.98662157104426,0.985045820954213,0.98542519173754,1,0.995553263258464,0.996178278818629,0.996166279993536
GSM1154531,0.980053687718356,0.980824549227545,0.98259838592,0.982348541942168,0.985929444932337,0.988168931025882,0.988536338857444,0.985985402530885,0.986740095553974,0.995553263258464,1,0.994832418130367,0.992645238119326
GSM1154532,0.97216776055811,0.975730269502392,0.976698555225405,0.976324161279147,0.984245582821146,0.987388791759926,0.985182272540946,0.983461929445655,0.984668932631655,0.996178278818629,0.994832418130367,1,0.99400010017665
GSM1154533,0.967182540930492,0.969039802394155,0.973751436162969,0.970942849061283,0.982657114044911,0.984268122581531,0.983764489104769,0.982693836669782,0.982986896955958,0.996166279993536,0.992645238119326,0.99400010017665,1
