gsm,group,biological_replicate,filename,compressed_bytes
GSM1154538,SHAMWT,1,GSM1154538_Dorsey-Mouse430-S34_27NavWT1.CEL.gz,3715928
GSM1154539,SHAMWT,2,GSM1154539_Dorsey-Mouse430-S34_28NavWT2.CEL.gz,3702917
GSM1154540,SHAMWT,3,GSM1154540_Dorsey-Mouse430-S34_29NavWT3.CEL.gz,3648361
GSM1154542,SHAMWT,4,GSM1154542_Dorsey-Mouse430-S34_30NavWT4.CEL.gz,3697548
GSM1154530,DAY1WT,1,GSM1154530_Dorsey_Mouse430-S34_1-D1WT36.CEL.gz,3681906
GSM1154541,DAY1WT,2,GSM1154541_Dorsey_Mouse430-S34_2-D1WT37.CEL.gz,3763774
GSM1154547,DAY1WT,3,GSM1154547_Dorsey_Mouse430-S34_3-D1WT38.CEL.gz,3735848
GSM1154548,DAY1WT,4,GSM1154548_Dorsey_Mouse430-S34_4-D1WT39.CEL.gz,3700691
GSM1154549,DAY1WT,5,GSM1154549_Dorsey_Mouse430-S34_5-D1WT42.CEL.gz,3703586
GSM1154529,DAY7WT,1,GSM1154529_Dorsey_Mouse430-S34_19-D7WT28.CEL.gz,3702427
GSM1154531,DAY7WT,2,GSM1154531_Dorsey_Mouse430-S34_20-D7WT29.CEL.gz,3681442
GSM1154532,DAY7WT,3,GSM1154532_Dorsey_Mouse430-S34_21-D7WT31.CEL.gz,3679080
GSM1154533,DAY7WT,4,GSM1154533_Dorsey_Mouse430-S34_22-D7WT43.CEL.gz,3677459
