dataset,contrast_id,effect_type,term,es,nes,nominal_p,fdr,fwer_p,tag_fraction,gene_fraction,leading_edge_genes,n_ranked_genes,n_exact_tied_genes_before_deterministic_break
GSE47681,change_d7_minus_d1,temporal_delta,HALLMARK_MYC_TARGETS_V1,-0.70446783441086447,-2.8846194928576296,0,0,0,130/192,17.93%,Ifrd1;Pa2g4;Nop56;Impdh2;Srm;Ddx21;Fbl;Hspd1;Ctps1;Kpnb1;Mrps18b;Gnl3;Nop16;Nolc1;Pold2;Ranbp1;Cct3;Mcm2;Nhp2;Srsf7;Psmc4;Odc1;Snrpa1;Srsf2;Rnps1;C1qbp;Eif2s1;Psmd3;Rsl1d1;Mcm4;Srsf1;Psmd14;Iars1;Abce1;Tomm70a;Orc2;Etf1;Eif4a1;Rpl18;Cct5;Psmd7;Kars1;Phb1;Myc;Cct7;Nme1;Aimp2;G3bp1;Rad23b;Ruvbl2;Psmb2;Hnrnpu;Ncbp1;Hnrnpa1;Mcm5;Eif3d;Gspt1;Cct2;Eprs1;Hnrnpa3;Psmd1;Xrcc6;Eif3b;Ilf2;Psma7;Psmb3;Hdgf;Lsm2;Rpl14;Sf3b3;Cops5;Rps6;Tra2b;Prpf31;Ran;Cdc45;Mcm7;Exosc7;Eif3j1;Rps2;Pabpc4;Rfc4;Phb2;Got2;Snrpd1;Tcp1;Cad;Ldha;Psma6;Eif2s2;Uba2;Bub3;Npm1;Pcna;Hsp90ab1;Psma2;Rps10;Snrpd2;Pwp1;Ppm1g;Erh;Rplp0;Mcm6;Cct4;Eif4e;Eif4h;Snrpa;Psma4;Ddx18;Snrpd3;Dhx15;Apex1;Syncrip;Tyms;Vdac3;Cyc1;Rrp9;Tardbp;Eif4g2;Trim28;Mrpl9;Hspe1;Hddc2;Pcbp1;Ppia;Cstf2;Rps5;Serbp1;Stard7;Smarcc1,22007,1553
GSE47681,change_d7_minus_d1,temporal_delta,HALLMARK_MYC_TARGETS_V2,-0.77390451184617226,-2.6416465111077203,0,0,0,43/58,12.39%,Pa2g4;Nop56;Srm;Hspd1;Gnl3;Nop16;Ppan;Las1l;Nolc1;Rrp12;Tbrg4;Nop2;Bysl;Rcl1;Pprc1;Map3k6;Wdr74;Grwd1;Utp20;Nip7;Mcm4;Mrto4;Prmt3;Ipo4;Phb1;Myc;Aimp2;Mybbp1a;Noc4l;Mcm5;Wdr43;Ndufaf4;Tcof1;Pus1;Ung;Tmem97;Farsa;Npm1;Rabepk;Dctpp1;Ddx18;Imp4;Supv3l1,22007,1553
GSE47681,change_d7_minus_d1,temporal_delta,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.6268947062822583,-2.3897506661635948,0,0,0,57/111,15.49%,Nop56;Cebpb;Nolc1;Dkc1;Atf4;Nhp2;Nop14;Hyou1;Eif2s1;Exosc2;Tars1;Iars1;Eif4a1;Banf1;Hspa5;Xbp1;Gosr2;Hspa9;Mthfd2;Aldh18a1;Exosc1;Asns;Sdad1;Ero1a;Zbtb17;Srprb;Tubb2a;Bag3;Tatdn2;Exosc4;Dnaja4;Exosc9;Vegfa;Eif4g1;Srpra;Dnajb9;Pdia6;Npm1;Mtrex;Yif1a;Tspyl2;Nfyb;Ywhaz;Eif4e;Eif4ebp1;Exosc10;Imp3;Herpud1;Slc1a4;Dnajc3;Atf6;Lsm4;Nabp1;H2ax;Gemin4;Rrp9;Sec31a,22007,1553
GSE47681,change_d7_minus_d1,temporal_delta,HALLMARK_MTORC1_SIGNALING,-0.52647613208955057,-2.1714753005551821,0,0,0,88/198,12.53%,Ifrd1;Insig1;Ldlr;Dhcr24;Stard4;Sqle;Idi1;Hmgcs1;Hmgcr;Sc5d;Ddx39a;Hspd1;Cyp51;Txnrd1;Cct6a;Mcm2;Tomm40;Psmc4;Cyb5b;Add3;Map2k3;Ppa1;Dhcr7;Mcm4;Psmd14;Psme3;Cdkn1a;Eef1e1;Etf1;Pdap1;Psmc2;Ebp;Gmps;Pno1;Bcat1;Stc1;Hspa5;Xbp1;Glrx;Hspa4;Hspa9;Slc2a3;Ppp1r15a;Eprs1;Mthfd2;Tuba4a;Slc2a1;Gsr;Bhlhe40;Acaca;Immt;Cops5;Abcf2;Psmd12;Rdh11;Asns;Uso1;Ero1a;Adipor2;Acly;Stip1;Ung;Tcea1;Tmem97;Pitpnb;Ube2d3;Mllt11;Psma3;Ldha;Eif2s2;Sdf2l1;Psmb5;Tm7sf2;Elovl6;Nufip1;Gpi1;Tubg1;Aldoa;Shmt2;Tfrc;Ufm1;Eno1b;Psma4;G6pdx;Hmbs;Nfil3;Slc1a4;Nup205,22007,1553
GSE47681,change_d7_minus_d1,temporal_delta,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.53110654467374097,-2.1712844746651445,0,0,0,71/196,9.26%,Clcf1;Hbegf;Socs3;Ldlr;Fosl1;Maff;Cebpd;Ier3;Ccn1;Gadd45b;Serpine1;Bcl3;Sphk1;Fos;Il6;Irs2;Cebpb;Dusp5;Pde4b;Gch1;Lif;Edn1;Ptx3;Tiparp;Egr1;Ptgs2;Bmp2;Dusp1;Cxcl2;Ccnd1;Fosl2;Map2k3;Trib1;Klf6;Smad3;Tnc;Cdkn1a;Jun;Ier2;Sdc4;Il1b;Cxcl1;Rnf19b;Rcan1;Myc;Ehd1;Yrdc;Zfp36;Junb;Eif1;Mcl1;Slc2a3;Tnfsf9;Ppp1r15a;Areg;Bhlhe40;Dusp4;Klf2;Phlda1;Klf4;Bcl6;Tubb2a;Vegfa;Cd44;Plaur;Klf10;Sod2;Ets2;Nr4a1;Kdm6b;Hes1,22007,1553
GSE47681,change_d7_minus_d1,temporal_delta,HALLMARK_DNA_REPAIR,-0.50203783116210365,-1.9964211460319436,0,0,0,61/148,18.10%,Impdh2;Pde4b;Gtf2f1;Ercc1;Alyref;Adrm1;Nme1;Polr2c;Cstf3;Polr2h;Prim1;Fen1;Taf12;Rpa2;Eif1b;Umps;Mrpl40;Sac3d1;Nt5c;Rfc4;Taf9;Rala;Smad5;Pcna;Itpa;Polr2f;Guk1;Pom121;Pola1;Dgcr8;Taf1c;Ada;Rae1;Rfc3;Gtf2a2;Rbx1;Zwint;Mpg;Ddb1;Tsg101;Eloa;Nudt9;Rad51;Tyms;Aaas;Sec61a1;Ssrp1;Polr2d;Nelfcd;Sf3a3;Gtf3c5;Taf10;Pold1;Ercc3;Lig1;Gtf2h5;Dctn4;Polr1c;Rnmt;Polr2i;Pold3,22007,1553
GSE47681,change_d7_minus_d1,temporal_delta,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.56558758542594556,-1.9934655610448335,0,0,0,31/71,8.01%,Ldlr;Fdft1;Lss;Stard4;Hsd17b7;Sqle;Idi1;Fdps;Hmgcs1;Hmgcr;Sc5d;Tnfrsf12a;Cyp51;Acat2;Srebf2;Pmvk;Nsdhl;Mvd;Dhcr7;Mvk;Pcyt2;Ebp;Fasn;Acss2;Gstm7;Tmem97;Atxn2;Chka;Plaur;Pdk3;Tm7sf2,22007,1553
GSE47681,change_d7_minus_d1,temporal_delta,HALLMARK_COMPLEMENT,0.52310742426435408,1.9771266837558523,0,0.00019004782870355708,0.00020000000000000001,50/184,8.86%,C1qa;C1qc;Apoc1;Timp2;Ctsd;Ang;Ctsb;Ctss;Ctso;Gngt2;Pik3cg;Cpq;Lipa;Fcer1g;Pla2g7;Lyn;C3;Ctsh;Fyn;Prcp;Mmp12;Plek;Lcp2;Gnb4;Ctsl;Lgmn;Itgam;Dyrk2;Prkcd;Plat;Scg3;C1s1;Gnai2;Cd36;Was;Tnfaip3;Sh2b3;Casp3;Pik3r5;Dock4;Psmb9;Lrp1;Rhog;Lamp2;Kynu;C2;Anxa5;Atox1;Csrp1;Mmp14,22007,1553
GSE47681,change_d7_minus_d1,temporal_delta,HALLMARK_E2F_TARGETS,-0.47231818529194047,-1.9429941200250205,0,8.1393455966140318e-05,0.00059999999999999995,75/199,15.91%,Hmga1b;Pa2g4;Nop56;Ddx39a;Ctps1;Nolc1;Lyar;Tbrg4;Pold2;Ranbp1;Mcm2;Srsf2;Hells;Eif2s1;Mcm4;Srsf1;Mcm3;Cdkn1a;Orc2;Myc;Orc6;Nme1;Timeless;Dnmt1;Ipo7;Mcm5;Gspt1;Chek1;Lbr;Nup153;Mthfd2;Xrcc6;Rpa2;Pole;Tra2b;Mre11a;Ran;Mcm7;Ung;Phf5a;Psmc3ip;Paics;Prps1;Snrpb;Exosc8;Cse1l;Tipin;Pcna;Anp32e;Nasp;Pop7;Gins1;Smc1a;Ak2;Tubg1;Rfc3;Mcm6;Smc6;Dctpp1;Tfrc;Rad51ap1;Nup107;Kif22;Nup205;Prim2;Syncrip;Stag1;Ppp1r8;Cit;Ssrp1;H2ax;Pms2;Nbn;Pold1;Lig1,22007,1553
GSE47681,change_d7_minus_d1,temporal_delta,HALLMARK_BILE_ACID_METABOLISM,0.52573900188280942,1.8557256650250784,0,0.001045263057869564,0.0022000000000000001,33/111,10.32%,Abca1;Abca9;Paox;Fads2;Bbox1;Aldh1a1;Bcar3;Npc1;Idh1;Retsat;Pex7;Phyh;Ephx2;Abcd3;Fads1;Cat;Hacl1;Pxmp2;Abcd2;Efhc1;Cyp27a1;Atxn1;Optn;Hsd17b4;Slc35b2;Bmp6;Pex6;Slc22a18;Abcd1;Idh2;Gstk1;Pecr;Hsd17b11,22007,1553
