scale,contrast_id,reference,n_shared_features,spearman_rho,direction_accuracy
gene,injury_d1_vs_uninjured,GSE162610,13749,0.47458623032267511,0.67794021383373337
gene,injury_d1_vs_uninjured,GSE234774,13749,0.40996375502070304,0.65059277038330066
gene,injury_d1_vs_uninjured,GSE304399,13749,0.52693398196599917,0.68419521419739615
gene,injury_d7_vs_uninjured,GSE162610,13749,0.3685209630412839,0.63604625790966618
gene,injury_d7_vs_uninjured,GSE234774,13749,0.41511225876113778,0.63822823478071133
gene,injury_d7_vs_uninjured,GSE304399,13749,0.56801569920533601,0.68652265619317765
gene,change_d7_minus_d1,GSE162610,13749,0.55647317771235938,0.69015928431158635
gene,change_d7_minus_d1,GSE234774,13749,0.36560114853031761,0.62346352461997234
gene,change_d7_minus_d1,GSE304399,13749,0.49363222870052609,0.66186631755036729
hallmark,injury_d1_vs_uninjured,GSE162610,50,0.68364945978391345,0.83999999999999997
hallmark,injury_d1_vs_uninjured,GSE234774,50,0.80955582232893153,0.88
hallmark,injury_d1_vs_uninjured,GSE304399,50,0.91971188475390153,0.85999999999999999
hallmark,injury_d7_vs_uninjured,GSE162610,50,0.44268907563025212,0.83999999999999997
hallmark,injury_d7_vs_uninjured,GSE234774,50,0.77018007202881156,0.95999999999999996
hallmark,injury_d7_vs_uninjured,GSE304399,50,0.90482593037214887,0.92000000000000004
hallmark,change_d7_minus_d1,GSE162610,50,0.60201680672268909,0.66000000000000003
hallmark,change_d7_minus_d1,GSE234774,50,0.35433373349339736,0.52000000000000002
hallmark,change_d7_minus_d1,GSE304399,50,0.70641056422569026,0.66000000000000003
