gsm,q0_00,q0_01,q0_05,q0_25,q0_50,q0_75,q0_95,q0_99,q1_00
GSM1154538,33,51,59,79,119,241,1146,4509.96999999997,30817
GSM1154539,37,53,60,80,120,239,1104,4318.96999999997,30160
GSM1154540,37,52,59,75,108,213,1023,4147.96999999997,30453
GSM1154542,39,54,61,81,120,236,1107,4412.96999999997,29508
GSM1154530,33,48,54,70,106,226,1122,4471.96999999997,31862
GSM1154541,40,53,60,82,129,270,1291.84999999998,5028.96999999997,31554
GSM1154547,40,54,61,81,123,253,1201,4707,31073
GSM1154548,34,50,57,75,113,232,1130,4595,30748
GSM1154549,38,53,60,78,116,237,1159,4672.96999999997,32964
GSM1154529,39,53,60,79,117,236,1115,4469,30043
GSM1154531,34,51,58,77,114,224,1042,4251.96999999997,29855
GSM1154532,36,52,59,78,117,228,1019,4031,28988
GSM1154533,39,52,58,77,114,223,997,3907,28909
