scale,contrast_id,contrast_label,contrast_class,strength_bin,strength_low,strength_high,n_features,all_study_concordance,heldout_balanced_accuracy
gene,change_d7_minus_d1,day 7 vs day 1,between_timepoint,Q1 (lowest),0.05906526891151754,0.9043077440400323,4811,0.2803990854292247,0.5263755908190563
gene,change_d7_minus_d1,day 7 vs day 1,between_timepoint,Q2,0.9044436408088711,1.3668655792001438,4104,0.37037037037037035,0.6020360543669345
gene,change_d7_minus_d1,day 7 vs day 1,between_timepoint,Q3,1.3673340468295752,2.024429546331529,3368,0.49524940617577196,0.7001119420488019
gene,change_d7_minus_d1,day 7 vs day 1,between_timepoint,Q4 (highest),2.0257783125920747,10.98359538226157,3048,0.7444225721784777,0.8588259029104464
gene,injury_d1_vs_uninjured,day 1 vs uninjured,endpoint,Q1 (lowest),0.03308561172031961,0.9041230554871061,3150,0.31587301587301586,0.5573186854250435
gene,injury_d1_vs_uninjured,day 1 vs uninjured,endpoint,Q2,0.9044542877532188,1.3669222589217067,3345,0.3796711509715994,0.6163945752100758
gene,injury_d1_vs_uninjured,day 1 vs uninjured,endpoint,Q3,1.3669474798486105,2.024972768089539,3927,0.47288006111535524,0.6907475230932173
gene,injury_d1_vs_uninjured,day 1 vs uninjured,endpoint,Q4 (highest),2.0254745400976457,10.397815021558573,4909,0.6899572214300265,0.828002348103288
gene,injury_d7_vs_uninjured,day 7 vs uninjured,endpoint,Q1 (lowest),0.04904257679795008,0.9042974026697657,3538,0.28971170152628606,0.5406300170689285
gene,injury_d7_vs_uninjured,day 7 vs uninjured,endpoint,Q2,0.9043366287140105,1.366911022474417,4049,0.3996048407014078,0.6234819735623346
gene,injury_d7_vs_uninjured,day 7 vs uninjured,endpoint,Q3,1.3669273050668116,2.0246099548151957,4203,0.5267665952890792,0.7183282188506638
gene,injury_d7_vs_uninjured,day 7 vs uninjured,endpoint,Q4 (highest),2.025387536766425,10.615927178889391,3541,0.7387743575261225,0.8388262253208492
hallmark,change_d7_minus_d1,day 7 vs day 1,between_timepoint,Q1 (lowest),0.8693174462266579,1.2791547017704723,21,0.14285714285714285,0.5389433551198257
hallmark,change_d7_minus_d1,day 7 vs day 1,between_timepoint,Q2,1.3323260802674626,1.6511804708707212,17,0.35294117647058826,0.7233877233877234
hallmark,change_d7_minus_d1,day 7 vs day 1,between_timepoint,Q3,1.7330786350069791,1.9782633698698142,8,0.625,0.5
hallmark,change_d7_minus_d1,day 7 vs day 1,between_timepoint,Q4 (highest),2.152637416831145,2.458399272986313,4,1.0,
hallmark,injury_d1_vs_uninjured,day 1 vs uninjured,endpoint,Q1 (lowest),0.9895663429782945,1.1997146786092738,7,0.42857142857142855,0.7638888888888888
hallmark,injury_d1_vs_uninjured,day 1 vs uninjured,endpoint,Q2,1.3008885314105048,1.6773229228456639,10,0.6,0.7462962962962963
hallmark,injury_d1_vs_uninjured,day 1 vs uninjured,endpoint,Q3,1.6900271086145409,2.064098515068092,12,1.0,
hallmark,injury_d1_vs_uninjured,day 1 vs uninjured,endpoint,Q4 (highest),2.074059372129592,3.034292154815357,21,0.9523809523809523,0.5
hallmark,injury_d7_vs_uninjured,day 7 vs uninjured,endpoint,Q1 (lowest),0.7372287175844671,1.2874116720714202,10,0.5,0.7222222222222223
hallmark,injury_d7_vs_uninjured,day 7 vs uninjured,endpoint,Q2,1.2909654991457042,1.5832637947188468,10,0.7,0.4131944444444444
hallmark,injury_d7_vs_uninjured,day 7 vs uninjured,endpoint,Q3,1.6784852460387416,2.0032028770706574,17,0.9411764705882353,0.5
hallmark,injury_d7_vs_uninjured,day 7 vs uninjured,endpoint,Q4 (highest),2.0930660173195026,2.6914579493708395,13,1.0,
