dataset,contrast_id,effect_type,term,es,nes,nominal_p,fdr,fwer_p,tag_fraction,gene_fraction,leading_edge_genes,n_ranked_genes,n_exact_tied_genes_before_deterministic_break
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_MYC_TARGETS_V2,-0.7880265375620294,-3.101221751103586,0.0,0.0,0.0,35/57,6.23%,Mybbp1a;Nolc1;Rrp12;Ipo4;Nop56;Mrto4;Nop16;Rrp9;Wdr43;Hspd1;Ppan;Grwd1;Nop2;Nip7;Utp20;Bysl;Noc4l;Ndufaf4;Wdr74;Pa2g4;Gnl3;Slc29a2;Mphosph10;Map3k6;Pprc1;Tcof1;Las1l;Srm;Mcm4;Tbrg4;Farsa;Slc19a1;Prmt3;Rcl1;Aimp2,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_MYC_TARGETS_V1,-0.621570692921046,-2.996274224918635,0.0,0.0,0.0,89/187,13.43%,Nolc1;Nop56;Cct3;Nop16;Snrpa1;Cad;Rsl1d1;Rrp9;Hspd1;Orc2;Abce1;Pabpc4;Ddx21;Ncbp1;Pa2g4;Gnl3;Srsf7;Kpnb1;Prpf31;Psmd3;Snrpd1;Cct2;Odc1;Tomm70a;Tardbp;Eif2s1;Ruvbl2;Cstf2;Ran;Eif3b;Rnps1;Psmd14;Impdh2;Syncrip;Mrps18b;Pwp1;Srm;Nme1;Xrcc6;Ilf2;Mcm4;Eif4g2;Cops5;Hsp90ab1;G3bp1;Cct7;Ssb;Nhp2;Aimp2;Psmc6;Fbl;Xpo1;Eif3d;Srsf1;Serbp1;Got2;Ddx18;Srsf3;Mcm2;Hdgf;Psmd7;Snrpd3;Ranbp1;Dhx15;Ppm1g;Psmc4;Etf1;Sf3b3;Eif4e;Smarcc1;Pold2;Rad23b;Hnrnpa3;Mcm7;Exosc7;Psma6;Cct5;Tcp1;Gspt1;Hnrnpa1;Hnrnpu;Myc;Snrpa;Mrpl9;Fam120a;Srpk1;Hnrnpd;Uba2;Nap1l1,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.5330475737963151,-2.372787743507452,0.0,0.0,0.0,47/106,20.13%,Dkc1;Nolc1;Nop56;Sdad1;Rrp9;Nop14;Hspa9;Asns;Eif4g1;Ddx10;Tubb2a;Eif2s1;Aldh18a1;Exosc10;Exosc1;Atf4;Ern1;Bag3;Nhp2;Banf1;Wfs1;Chac1;Sec31a;Mtrex;Edc4;Slc1a4;Nfyb;Exosc9;Hyou1;Eif4e;Hspa5;Xbp1;Atf6;Dctn1;Tspyl2;Vegfa;Npm1;Mthfd2;Srprb;Ssr1;Ywhaz;Dnajc3;Exosc4;Fus;Pdia6;Xpot;Eif4a1,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_MTORC1_SIGNALING,-0.457426651278227,-2.208892708950728,0.0,0.0,0.0,77/190,16.32%,Ppa1;Stc1;Rrp9;Hspd1;Hspa9;Glrx;Asns;Polr3g;Psmd12;Ldlr;Idi1;Dhcr24;Tes;Eef1e1;Uso1;Egln3;Sqle;Cyp51;Pno1;Psmd14;Immt;Slc7a11;Fgl2;Stip1;Pitpnb;Mcm4;Tomm40;Nufip1;Gmps;Cops5;Slc2a3;Nup205;Ak4;Shmt2;Atp2a2;Cyb5b;Txnrd1;Hmgcr;Stard4;Psmc6;Tcea1;Psme3;Psmg1;Slc1a5;Mcm2;Slc1a4;Hmgcs1;Sc5d;Psmc4;Etf1;Cacybp;Cdc25a;Mllt11;Rdh11;Hspa5;Abcf2;Tmem97;Psmc2;Xbp1;Psmb5;Acly;Adipor2;Slc2a1;Rpn1;Psma3;Me1;Insig1;Ldha;Gsr;Mthfd2;Pdap1;Bcat1;Tpi1;Cth;Hspa4;Ufm1;Gclc,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.3941950127702704,-1.9099267004741602,0.0,0.0007145919679862798,0.0018,57/183,13.54%,Mybbp1a;Rrp12;Sfn;Flnb;Rara;Ccnd1;Clic3;Muc1;Cish;Cd44;Inhbb;Podxl;Ptges;Gja1;Slc1a1;Areg;Il6st;Ret;Slc39a6;Jak2;Akap1;Syt12;Gfra1;Fdft1;Farp1;Krt8;Mast4;Endod1;Slc19a2;Wfs1;Fcmr;Hspb8;Kazn;Slc1a4;Celsr2;Fasn;Opn3;Med24;Zfp185;Tgm2;Igfbp4;Tiam1;P2ry2;Isg20l2;Slc37a1;Ppif;Aff1;Xbp1;Tpbg;Slc2a1;Ovol2;Myc;Fkbp4;Dlc1;Rbbp8;Rasgrp1;Prss23,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.44668760853725936,-1.8300872618212138,0.0,0.0016541480740423146,0.005,24/69,11.91%,Tnfrsf12a;Errfi1;Fdps;Ldlr;Idi1;Hsd17b7;Sqle;Cyp51;Plaur;Fdft1;Hmgcr;Stard4;S100a11;Gldc;Srebf2;Hmgcs1;Fasn;Sc5d;Jag1;Acat2;Tmem97;Clu;Lss;Aldoc,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_HYPOXIA,-0.3552729014284733,-1.7161212022825192,0.0,0.004820660101494744,0.0168,48/189,11.95%,Akap12;Pfkp;Pgf;Stc1;Hk1;Il6;Glrx;Sdc4;Igfbp3;Errfi1;Adm;Tes;Pgm2;Anxa2;Mt1;Adora2b;Plaur;Klf7;Ampd3;Ackr3;Ppp1r3c;S100a4;Fam162a;Rbpj;Noct;Slc2a3;P4ha2;Ak4;Cp;Hdlbp;Gys1;Jmjd6;Tgfbi;Cavin3;F3;Angptl4;Tgm2;Ccn1;Hspa5;Ccn2;Ets1;Tpbg;Slc2a1;B3galt6;Prkca;Cavin1;Aldoc;Myh9,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.4198529343468666,1.5905707501377884,0.0019536701088473346,0.0899602731156464,0.1252,27/91,13.70%,Lgals3bp;Irf1;Ifi44l;Ccrl2;Uba7;Epsti1;Il15;Tmem140;B2m;Psmb9;Trim14;Trim12c;Casp1;Bst2;Mov10;Trafd1;Mvb12a;Dhx58;Sp110;Psmb8;Nub1;Ly6e;Batf2;Psme1;Ube2l6;Lpar6;Tap1,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_ANDROGEN_RESPONSE,-0.3646534639769355,-1.577423178234349,0.00414651002073255,0.015234703761929716,0.059,20/91,6.33%,Akap12;Rrp12;Actn1;Ccnd1;Aldh1a3;Pa2g4;Adamts1;Pgm3;Pdlim5;Idi1;Dhcr24;Steap4;Sec24d;Xrcc6;Lman1;Gnai3;Krt8;Hmgcr;Rps6ka3;Xrcc5,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_COAGULATION,0.4024185798045097,1.5636891309527925,0.004561309364099812,0.06182262454084169,0.1688,29/109,14.44%,Apoc1;Hpn;Mmp2;Mmp10;Ctse;Cpq;Ang;Msrb2;F9;C8g;Ctsb;Lamp2;Ctsh;C1qa;Ctso;Ctsk;C2;Gng12;Dpp4;Lgmn;Sirt2;Lrp1;Cd9;Sparc;Hmgcs2;S100a1;Apoa1;Fbn1;Olr1,18747,16
