term,contrast_id,dataset_1,dataset_2,n_1,n_2,jaccard,weighted_jaccard_rank_weighted,empirical_p_random_subsets_within_fixed_term,null_B,empirical_fdr_within_contrast
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,injury_d1_vs_uninjured,GSE162610,GSE234774,85,112,0.5153846153846153,0.44105371715196273,9.999000099990002e-05,10000,0.00017141143028554288
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,injury_d1_vs_uninjured,GSE162610,GSE304399,85,56,0.4536082474226804,0.3877571691995729,9.999000099990002e-05,10000,0.00017141143028554288
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,injury_d1_vs_uninjured,GSE234774,GSE304399,112,56,0.4117647058823529,0.3592668621411484,9.999000099990002e-05,10000,0.00017141143028554288
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,injury_d7_vs_uninjured,GSE162610,GSE234774,70,101,0.46153846153846156,0.36402357056637774,9.999000099990002e-05,10000,0.00023997600239976003
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,injury_d7_vs_uninjured,GSE162610,GSE304399,70,56,0.3695652173913043,0.3457289813344953,9.999000099990002e-05,10000,0.00023997600239976003
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,injury_d7_vs_uninjured,GSE234774,GSE304399,101,56,0.4537037037037037,0.40029391302048356,9.999000099990002e-05,10000,0.00023997600239976003
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,change_d7_minus_d1,GSE162610,GSE234774,50,74,0.4588235294117647,0.3563340058366363,9.999000099990002e-05,10000,0.00011998800119988002
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,change_d7_minus_d1,GSE162610,GSE304399,50,47,0.3287671232876712,0.2749603129903639,9.999000099990002e-05,10000,0.00011998800119988002
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,change_d7_minus_d1,GSE234774,GSE304399,74,47,0.375,0.3170113137539131,9.999000099990002e-05,10000,0.00011998800119988002
HALLMARK_HYPOXIA,injury_d1_vs_uninjured,GSE162610,GSE234774,69,99,0.47368421052631576,0.3728056411907468,9.999000099990002e-05,10000,0.00017141143028554288
HALLMARK_HYPOXIA,injury_d1_vs_uninjured,GSE162610,GSE304399,69,58,0.3655913978494624,0.29168652552377006,9.999000099990002e-05,10000,0.00017141143028554288
HALLMARK_HYPOXIA,injury_d1_vs_uninjured,GSE234774,GSE304399,99,58,0.4144144144144144,0.3666323879980908,9.999000099990002e-05,10000,0.00017141143028554288
HALLMARK_HYPOXIA,injury_d7_vs_uninjured,GSE162610,GSE234774,55,94,0.34234234234234234,0.26307890737229955,0.00039996000399960006,10000,0.0006856457211421715
HALLMARK_HYPOXIA,injury_d7_vs_uninjured,GSE162610,GSE304399,55,66,0.31521739130434784,0.2918015950266268,0.00029997000299970003,10000,0.0005999400059994001
HALLMARK_HYPOXIA,injury_d7_vs_uninjured,GSE234774,GSE304399,94,66,0.45454545454545453,0.4010233061020513,9.999000099990002e-05,10000,0.00023997600239976003
HALLMARK_HYPOXIA,change_d7_minus_d1,GSE162610,GSE234774,48,84,0.40425531914893614,0.3468646581085142,9.999000099990002e-05,10000,0.00011998800119988002
HALLMARK_HYPOXIA,change_d7_minus_d1,GSE162610,GSE304399,48,53,0.2625,0.2057917276863256,0.0024997500249975004,10000,0.0027270000272700003
HALLMARK_HYPOXIA,change_d7_minus_d1,GSE234774,GSE304399,84,53,0.3838383838383838,0.2928554488832668,9.999000099990002e-05,10000,0.00011998800119988002
HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,GSE162610,GSE234774,140,103,0.577922077922078,0.4462312905092848,9.999000099990002e-05,10000,0.00017141143028554288
HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,GSE162610,GSE304399,140,117,0.5575757575757576,0.42050333020613184,0.004399560043995601,10000,0.005279472052794721
HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,GSE234774,GSE304399,103,117,0.5068493150684932,0.38812448180859355,0.00019998000199980003,10000,0.00029997000299970003
HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,GSE162610,GSE234774,114,84,0.4244604316546763,0.32097539411770254,0.0008999100089991,10000,0.0013498650134986501
HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,GSE162610,GSE304399,114,79,0.36879432624113473,0.2961167051535019,0.0456954304569543,10000,0.04984956049849561
HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,GSE234774,GSE304399,84,79,0.29365079365079366,0.24064514544445884,0.20237976202379762,10000,0.20237976202379762
HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,GSE162610,GSE234774,89,97,0.3381294964028777,0.2611870764773091,0.22867713228677133,10000,0.22867713228677133
HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,GSE162610,GSE304399,89,111,0.5267175572519084,0.4153528807419539,9.999000099990002e-05,10000,0.00011998800119988002
HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,GSE234774,GSE304399,97,111,0.5072463768115942,0.3953738898638993,9.999000099990002e-05,10000,0.00011998800119988002
HALLMARK_MTORC1_SIGNALING,injury_d1_vs_uninjured,GSE162610,GSE234774,115,92,0.44755244755244755,0.36799677065161956,0.0014998500149985001,10000,0.001999800019998
HALLMARK_MTORC1_SIGNALING,injury_d1_vs_uninjured,GSE162610,GSE304399,115,85,0.3986013986013986,0.30080735436033096,0.014698530146985302,10000,0.016034760160347602
HALLMARK_MTORC1_SIGNALING,injury_d1_vs_uninjured,GSE234774,GSE304399,92,85,0.3511450381679389,0.2763999788608637,0.039396060393960604,10000,0.039396060393960604
HALLMARK_MTORC1_SIGNALING,injury_d7_vs_uninjured,GSE162610,GSE234774,85,67,0.3333333333333333,0.2590745787991627,0.0037996200379962005,10000,0.004559544045595441
HALLMARK_MTORC1_SIGNALING,injury_d7_vs_uninjured,GSE162610,GSE304399,85,47,0.3333333333333333,0.25532370289065964,9.999000099990002e-05,10000,0.00023997600239976003
HALLMARK_MTORC1_SIGNALING,injury_d7_vs_uninjured,GSE234774,GSE304399,67,47,0.26666666666666666,0.21672936862603298,0.0034996500349965005,10000,0.004559544045595441
