program,contrast_id,null_level,all_exchangeability_diagnostics_pass,n_unique_sets,pilot_set_target,approved_for_10000
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,change_d7_minus_d1,level3_module_block,False,500,500,False
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,injury_d1_vs_uninjured,level3_module_block,False,500,500,False
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,injury_d7_vs_uninjured,level3_module_block,False,500,500,False
HALLMARK_HYPOXIA,change_d7_minus_d1,level3_module_block,False,500,500,False
HALLMARK_HYPOXIA,injury_d1_vs_uninjured,level3_module_block,False,500,500,False
HALLMARK_HYPOXIA,injury_d7_vs_uninjured,level3_module_block,False,500,500,False
HALLMARK_MTORC1_SIGNALING,change_d7_minus_d1,level3_module_block,False,500,500,False
HALLMARK_MTORC1_SIGNALING,injury_d1_vs_uninjured,level3_module_block,False,500,500,False
HALLMARK_MTORC1_SIGNALING,injury_d7_vs_uninjured,level3_module_block,False,500,500,False
HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,level3_module_block,False,500,500,False
HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,level3_module_block,False,500,500,False
HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,level3_module_block,False,500,500,False
