source_layer,dataset,tissue_scope,cell_type,genotype_context,contrast_id,scoring_method,effect_metric,estimate,se,ci_low,ci_high,nominal_p,fdr,direction,evidence_class,interpretation_limit
GSE304361_endpoint_stress_test,GSE304361,cell_states,Astrocyte,Plxnb1_KO_injury,ko_d7_vs_ko_uninjured,preranked_GSEA,NES,-2.356295614878369,NA,NA,NA,0.0,0.0,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Div-Myeloid,Plxnb1_KO_injury,ko_d7_vs_ko_uninjured,preranked_GSEA,NES,-1.5204638254481766,NA,NA,NA,0.013126491646778,0.1102801442736545,-1,nominal_only_not_replication,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,EC,Plxnb1_KO_injury,ko_d7_vs_ko_uninjured,preranked_GSEA,NES,-1.82594693670112,NA,NA,NA,0.0020804438280166,0.0348247740797884,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Ependymal cell,Plxnb1_KO_injury,ko_d7_vs_ko_uninjured,preranked_GSEA,NES,-1.1878341988688346,NA,NA,NA,0.1779298545765611,0.3257034910821617,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Fibroblast,Plxnb1_KO_injury,ko_d7_vs_ko_uninjured,preranked_GSEA,NES,-2.0374032084462184,NA,NA,NA,0.0,0.0007662665052694,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,IAMs,Plxnb1_KO_injury,ko_d7_vs_ko_uninjured,preranked_GSEA,NES,-0.9785287816045808,NA,NA,NA,0.510989010989011,0.7169996243809125,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Neuron,Plxnb1_KO_injury,ko_d7_vs_ko_uninjured,preranked_GSEA,NES,-1.707027966836429,NA,NA,NA,0.0,0.0106911418914638,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,OPC,Plxnb1_KO_injury,ko_d7_vs_ko_uninjured,preranked_GSEA,NES,-1.2916978751481587,NA,NA,NA,0.0545536519386835,0.292655061483419,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Oligodendrycyte,Plxnb1_KO_injury,ko_d7_vs_ko_uninjured,preranked_GSEA,NES,-2.321960343880696,NA,NA,NA,0.0,0.0,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,whole_lesion,whole_lesion_bulk_equivalent,Plxnb1_KO_injury,ko_d7_vs_ko_uninjured,preranked_GSEA,NES,-1.3978487143359282,NA,NA,NA,0.0043365134431915,0.0491658797607806,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Astrocyte,genotype_contrast,ko_vs_wt_d7,preranked_GSEA,NES,-0.9083938265018354,NA,NA,NA,0.6859477124183005,0.944581634411072,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Div-Myeloid,genotype_contrast,ko_vs_wt_d7,preranked_GSEA,NES,-0.8877452980404347,NA,NA,NA,0.7240289069557361,0.7850318926558841,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,EC,genotype_contrast,ko_vs_wt_d7,preranked_GSEA,NES,-0.9961470833721704,NA,NA,NA,0.4620967741935483,1.0,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Ependymal cell,genotype_contrast,ko_vs_wt_d7,preranked_GSEA,NES,1.569287366671823,NA,NA,NA,0.0140907089387933,0.241577239830297,1,nominal_only_not_replication,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Fibroblast,genotype_contrast,ko_vs_wt_d7,preranked_GSEA,NES,-0.8958742606242763,NA,NA,NA,0.7073643410852714,0.8333973332606577,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,IAMs,genotype_contrast,ko_vs_wt_d7,preranked_GSEA,NES,-0.7423322234278504,NA,NA,NA,0.9832483612527312,1.0,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Neuron,genotype_contrast,ko_vs_wt_d7,preranked_GSEA,NES,0.7987048742373135,NA,NA,NA,0.9414893617021276,1.0,1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,OPC,genotype_contrast,ko_vs_wt_d7,preranked_GSEA,NES,1.153721597141932,NA,NA,NA,0.1676326348640214,0.4670570847105809,1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Oligodendrycyte,genotype_contrast,ko_vs_wt_d7,preranked_GSEA,NES,-1.5838743332046368,NA,NA,NA,0.0013363028953229,0.0732439094605779,-1,nominal_only_not_replication,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,whole_lesion,whole_lesion_bulk_equivalent,genotype_contrast,ko_vs_wt_d7,preranked_GSEA,NES,-0.9869042442748353,NA,NA,NA,0.4924458962841976,1.0,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Astrocyte,genotype_contrast,ko_vs_wt_uninjured,preranked_GSEA,NES,2.2177473353788475,NA,NA,NA,0.0,0.0,1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,EC,genotype_contrast,ko_vs_wt_uninjured,preranked_GSEA,NES,0.8260357889177734,NA,NA,NA,0.7853610286844707,0.9550753590936678,1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Ependymal cell,genotype_contrast,ko_vs_wt_uninjured,preranked_GSEA,NES,1.803885832733276,NA,NA,NA,0.0014492753623188,0.0714865187306131,1,nominal_only_not_replication,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Fibroblast,genotype_contrast,ko_vs_wt_uninjured,preranked_GSEA,NES,1.9807465587566264,NA,NA,NA,0.0,0.0026757851404288,1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,IAMs,genotype_contrast,ko_vs_wt_uninjured,preranked_GSEA,NES,1.6268214013664084,NA,NA,NA,0.0006872852233675,0.0519900497512437,1,nominal_only_not_replication,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Neuron,genotype_contrast,ko_vs_wt_uninjured,preranked_GSEA,NES,2.0477776000764303,NA,NA,NA,0.0,0.0003048216249169,1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,OPC,genotype_contrast,ko_vs_wt_uninjured,preranked_GSEA,NES,1.840655106743295,NA,NA,NA,0.0,0.0056840142782437,1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Oligodendrycyte,genotype_contrast,ko_vs_wt_uninjured,preranked_GSEA,NES,2.056789288007636,NA,NA,NA,0.0,0.0003327417923691,1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Pericyte,genotype_contrast,ko_vs_wt_uninjured,preranked_GSEA,NES,NA,NA,NA,NA,NA,NA,0,not_evaluable,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,whole_lesion,whole_lesion_bulk_equivalent,genotype_contrast,ko_vs_wt_uninjured,preranked_GSEA,NES,2.149467538634234,NA,NA,NA,0.0,8.080462392577382e-05,1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Astrocyte,Plxnb1_genotype_by_injury,plxnb1_genotype_by_injury_interaction,preranked_GSEA,NES,-2.168135702771312,NA,NA,NA,0.0,0.0001616655140513,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,EC,Plxnb1_genotype_by_injury,plxnb1_genotype_by_injury_interaction,preranked_GSEA,NES,-1.213057811822959,NA,NA,NA,0.1714104996837443,0.4311697982445468,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Ependymal cell,Plxnb1_genotype_by_injury,plxnb1_genotype_by_injury_interaction,preranked_GSEA,NES,-1.0932100955784858,NA,NA,NA,0.2987641053197205,0.8082862351868733,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Fibroblast,Plxnb1_genotype_by_injury,plxnb1_genotype_by_injury_interaction,preranked_GSEA,NES,-1.7545332442551207,NA,NA,NA,0.0,0.0147371241554861,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,IAMs,Plxnb1_genotype_by_injury,plxnb1_genotype_by_injury_interaction,preranked_GSEA,NES,-1.59617530843577,NA,NA,NA,0.0016233766233766,0.0872372435120565,-1,nominal_only_not_replication,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Neuron,Plxnb1_genotype_by_injury,plxnb1_genotype_by_injury_interaction,preranked_GSEA,NES,-1.8945726272186367,NA,NA,NA,0.0,0.0018686383196629,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,OPC,Plxnb1_genotype_by_injury,plxnb1_genotype_by_injury_interaction,preranked_GSEA,NES,-1.706579353875309,NA,NA,NA,0.0,0.021955559830704,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Oligodendrycyte,Plxnb1_genotype_by_injury,plxnb1_genotype_by_injury_interaction,preranked_GSEA,NES,-2.067258081476788,NA,NA,NA,0.0,0.0002089973352839,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,whole_lesion,whole_lesion_bulk_equivalent,Plxnb1_genotype_by_injury,plxnb1_genotype_by_injury_interaction,preranked_GSEA,NES,-2.2834282824473946,NA,NA,NA,0.0,9.873459606876196e-05,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
