program,dataset,method,contrast_id,effect_type,estimate,se,df_residual,ci_low,ci_high,p,fdr,n_num,n_den,n_genes_observed
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE162610,centered_rank_mean,change_d7_minus_d1,temporal_delta,-1.33553982721953,0.328009840636373,14.7465159401386,-2.03572441995165,-0.635355234487402,0.0010352758555952,0.0031058275667857,2,3,142
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE234774,centered_rank_mean,change_d7_minus_d1,temporal_delta,-0.897126247381665,0.481608025977326,9.77568792828334,-1.97356279760648,0.179310302843149,0.09277583061177,0.111330996734124,2,3,141
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE304399,centered_rank_mean,change_d7_minus_d1,temporal_delta,-0.625373064772803,0.723243372528168,15.8535957249416,-2.15973205323155,0.908985923685941,0.400110077012501,0.400110077012501,3,3,141
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE162610,centered_rank_mean,change_d7_minus_d1,temporal_delta,-1.21628015091381,0.315623650149451,14.7465159401386,-1.89002462305455,-0.542535678773072,0.0016076217232005,0.0032152434464011,2,3,169
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE234774,centered_rank_mean,change_d7_minus_d1,temporal_delta,-0.961131335588666,0.483542560483675,9.77568792828334,-2.04189174160072,0.119629070423393,0.0755643966456109,0.111330996734124,2,3,168
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE304399,centered_rank_mean,change_d7_minus_d1,temporal_delta,-0.672862687184426,0.71484006783151,15.8535957249416,-2.18939408594953,0.843668711580682,0.360685599241948,0.400110077012501,3,3,167
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE162610,centered_rank_mean,change_d7_minus_d1,temporal_delta,-1.41111666723417,0.318355557582242,14.7465159401386,-2.09069279213722,-0.731540542331131,0.0005037143585997,0.0030222861515983,2,3,45
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE234774,centered_rank_mean,change_d7_minus_d1,temporal_delta,-0.997757712158988,0.426369137339186,9.77568792828334,-1.95073045879949,-0.0447849655184838,0.0418814348764487,0.0837628697528974,2,3,45
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE304399,centered_rank_mean,change_d7_minus_d1,temporal_delta,-1.51015255727107,0.625738253807536,15.8535957249416,-2.83765468258737,-0.18265043195477,0.0282816706452797,0.084845011935839,3,3,45
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE162610,centered_rank_mean,injury_d1_vs_uninjured,endpoint,2.0614848458151,0.293380920380721,14.7465159401386,1.43522070735629,2.68774898427392,4.49912200248503e-06,8.00884308135584e-06,3,3,142
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE234774,centered_rank_mean,injury_d1_vs_uninjured,endpoint,1.86705746427557,0.430763313837914,9.77568792828334,0.90426334436835,2.82985158418279,0.0015599564711454,0.001949099757082,3,3,141
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE304399,centered_rank_mean,injury_d1_vs_uninjured,endpoint,0.750568530061884,0.723243372528168,15.8535957249416,-0.78379045839686,2.28492751852063,0.314942179938022,0.314942179938022,3,3,141
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE162610,centered_rank_mean,injury_d1_vs_uninjured,endpoint,2.09975739898774,0.282302374816314,14.7465159401386,1.49714202331918,2.7023727746563,2.31381916033093e-06,8.00884308135584e-06,3,3,169
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE234774,centered_rank_mean,injury_d1_vs_uninjured,endpoint,1.86326505163523,0.43249361410232,9.77568792828334,0.896603557541939,2.82992654572853,0.0016242497975683,0.001949099757082,3,3,168
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE304399,centered_rank_mean,injury_d1_vs_uninjured,endpoint,0.874195237789546,0.71484006783151,15.8535957249416,-0.642336160975561,2.39072663655465,0.239226878486661,0.287072254183994,3,3,167
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE162610,centered_rank_mean,injury_d1_vs_uninjured,endpoint,2.06730738715279,0.284745867107497,14.7465159401386,1.45947602268516,2.67513875162043,3.07586493000146e-06,8.00884308135584e-06,3,3,45
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE234774,centered_rank_mean,injury_d1_vs_uninjured,endpoint,1.96959527147176,0.381356149839346,9.77568792828334,1.11723053459462,2.82196000834891,0.0004541546525514,0.0009083093051029,3,3,45
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE304399,centered_rank_mean,injury_d1_vs_uninjured,endpoint,1.33695886786357,0.625738253807536,15.8535957249416,0.0094567425472682,2.66446099317987,0.0485739654794716,0.0728609482192075,3,3,45
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE162610,centered_rank_mean,injury_d7_vs_uninjured,endpoint,0.725945018595576,0.328009840636373,14.7465159401386,0.0257604258634506,1.4261296113277,0.043091140265888,0.0573757907002141,2,3,142
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE234774,centered_rank_mean,injury_d7_vs_uninjured,endpoint,0.969931216893906,0.481608025977326,9.77568792828334,-0.106505333330909,2.04636776711872,0.0723511100117553,0.108526665017633,2,3,141
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE304399,centered_rank_mean,injury_d7_vs_uninjured,endpoint,0.125195465289081,0.723243372528168,15.8535957249416,-1.40916352316966,1.65955445374783,0.864761398047199,0.864761398047199,3,3,141
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE162610,centered_rank_mean,injury_d7_vs_uninjured,endpoint,0.883477248073934,0.315623650149451,14.7465159401386,0.209732775933196,1.55722172021467,0.0136551145879828,0.0273102291759656,2,3,169
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE234774,centered_rank_mean,injury_d7_vs_uninjured,endpoint,0.902133716046567,0.483542560483675,9.77568792828334,-0.178626689965491,1.98289412205863,0.092337299371828,0.110804759246194,2,3,168
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE304399,centered_rank_mean,injury_d7_vs_uninjured,endpoint,0.201332550605121,0.71484006783151,15.8535957249416,-1.31519884815999,1.71786394937023,0.781857401785095,0.864761398047199,3,3,167
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE162610,centered_rank_mean,injury_d7_vs_uninjured,endpoint,0.656190719918619,0.318355557582242,14.7465159401386,-0.023385404984424,1.33576684482166,0.0573757907002141,0.0573757907002141,2,3,45
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE234774,centered_rank_mean,injury_d7_vs_uninjured,endpoint,0.971837559312776,0.426369137339186,9.77568792828334,0.0188648126722712,1.92481030595328,0.0464088934144062,0.0928177868288124,2,3,45
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE304399,centered_rank_mean,injury_d7_vs_uninjured,endpoint,-0.173193689407502,0.625738253807536,15.8535957249416,-1.5006958147238,1.1543084359088,0.785522944827551,0.864761398047199,3,3,45
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE162610,magnitude_mean_z,change_d7_minus_d1,temporal_delta,-2.27100224486861,0.204581291004754,6.99925405479176,-2.75477057862196,-1.78723391111527,1.07142139123476e-05,3.7742067796033e-05,2,3,142
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE234774,magnitude_mean_z,change_d7_minus_d1,temporal_delta,-1.2089978821473,0.52402196237491,14.700081531559,-2.32791231013078,-0.0900834541638147,0.0360460210217744,0.0478229708206587,2,3,141
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE304399,magnitude_mean_z,change_d7_minus_d1,temporal_delta,-0.279511595048059,0.815118329956685,36.0,-1.93264819012242,1.3736250000263,0.733661089091623,0.733661089091623,3,3,141
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE162610,magnitude_mean_z,change_d7_minus_d1,temporal_delta,-2.26949137683135,0.218861400366586,6.99925405479176,-2.78702753303738,-1.75195522062532,1.68465753896947e-05,3.7742067796033e-05,2,3,169
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE234774,magnitude_mean_z,change_d7_minus_d1,temporal_delta,-1.19712138715468,0.530919604676163,14.700081531559,-2.33076396022384,-0.0634788140855125,0.0398524756838822,0.0478229708206587,2,3,168
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE304399,magnitude_mean_z,change_d7_minus_d1,temporal_delta,-0.282469803057417,0.815118329956685,36.0,-1.93560639813177,1.37066679201694,0.73095554479502,0.733661089091623,3,3,167
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE162610,magnitude_mean_z,change_d7_minus_d1,temporal_delta,-2.23024865806632,0.218799978879502,6.99925405479176,-2.74763957239653,-1.71285774373611,1.88710338980165e-05,3.7742067796033e-05,2,3,45
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE234774,magnitude_mean_z,change_d7_minus_d1,temporal_delta,-1.47070566747275,0.50190351237707,14.700081531559,-2.54239182144449,-0.399019513501012,0.0105171914611236,0.0478229708206587,2,3,45
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE304399,magnitude_mean_z,change_d7_minus_d1,temporal_delta,-0.650619144789042,0.815118329956685,36.0,-2.3037557398634,1.00251745028532,0.429994513967885,0.733661089091623,3,3,45
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE162610,magnitude_mean_z,injury_d1_vs_uninjured,endpoint,1.49706279151748,0.182983069444519,6.99925405479176,1.06436723966377,1.9297583433712,7.90134653564115e-05,0.0002647098001726,3,3,142
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE234774,magnitude_mean_z,injury_d1_vs_uninjured,endpoint,1.80179076846048,0.468699491829254,14.700081531559,0.80100327966994,2.80257825725103,0.0016469614285928,0.0024213246657942,3,3,141
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE304399,magnitude_mean_z,injury_d1_vs_uninjured,endpoint,0.880868073787842,0.815118329956685,36.0,-0.772268521286515,2.5340046688622,0.287033751925966,0.287033751925966,3,3,141
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE162610,magnitude_mean_z,injury_d1_vs_uninjured,endpoint,1.47685407648887,0.195755587548193,6.99925405479176,1.01395566605262,1.93975248692512,0.0001323549000863,0.0002647098001726,3,3,169
