method,contrast_id,effect_type,program,k,estimate,se_hksj,ci_low,ci_high,p,tau2,i2,q,q_p,prediction_low,prediction_high,max_weight_fraction,direction_concordance,n_study_fdr_le_005,all_study_effects_same_sign,datasets,study_effects,study_fdr,meta_fdr
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_ANDROGEN_RESPONSE,3,-0.79007959514544734,0.25198558070235111,-1.8742860418119216,0.29412685152102691,0.088435304733516573,0,0,1.0248192548169581,0.59905035013748897,-3.9918599741133916,2.4117007838224973,0.55295087349937011,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-1.2734094422;GSE234774:-0.977526920165;GSE304399:-0.574636669395,GSE162610:0.5161573355;GSE234774:0.182256530603;GSE304399:0.484092491678,0.40197865787962078
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_BILE_ACID_METABOLISM,3,1.3281353202349662,0.3616379599686006,-0.22786723540495979,2.8841378758748921,0.066798553679528846,0,0,0.49713209030919936,0.779918349306153,-3.2669106394986214,5.9231812799685537,0.39535814153658577,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:1.33293507345;GSE234774:1.62422637332;GSE304399:0.965730495777,GSE162610:0.27685265263;GSE234774:0.148242644839;GSE304399:0.660341473125,0.40197865787962078
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_CHOLESTEROL_HOMEOSTASIS,3,-1.1907441599045137,0.30751410989788919,-2.5138705842931426,0.13238226448411528,0.060687032926204275,0,0,0.31076491814446638,0.85608769635744242,-5.0980813995296188,2.7165930797205915,0.45134947654004332,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-1.42973019638;GSE234774:-0.994592727561;GSE304399:-1.11950233906,GSE162610:0.213776090427;GSE234774:0.254777288284;GSE304399:0.393715536668,0.40197865787962078
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_ESTROGEN_RESPONSE_EARLY,3,-1.2530939416532427,0.27557020177469826,-2.4387768225567585,-0.067411060749727136,0.045113759930571019,0,0,0.58080766356216551,0.74796145597458996,-4.7545453445915298,2.2483574612850443,0.50652314269031751,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.906832091082;GSE234774:-1.20169381244;GSE304399:-1.51607391243,GSE162610:0.660506715788;GSE234774:0.147368392185;GSE304399:0.393715536668,0.40197865787962078
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_HEDGEHOG_SIGNALING,3,-1.0560530188378445,0.33647831072986534,-2.5038023410011876,0.39169630332549832,0.088281604328033406,0,0,0.93683839002015956,0.62599105632173602,-5.3314153242537197,3.2193092865780306,0.59247915267496887,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.285980418127;GSE234774:-1.21128512824;GSE304399:-1.1505530132,GSE162610:0.921373183737;GSE234774:0.147368392185;GSE304399:0.484092491678,0.40197865787962078
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_HYPOXIA,3,-0.99224560061980804,0.24588738839397864,-2.0502136435041263,0.065722442264510295,0.0562755628438689,0,0,0.87361249288425413,0.64609660279955405,-4.116541099597006,2.1320498983573897,0.4927807358990397,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.572642938145;GSE234774:-1.17937155706;GSE304399:-0.966307972271,GSE162610:0.731677038255;GSE234774:0.147368392185;GSE304399:0.434584465437,0.40197865787962078
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_MTORC1_SIGNALING,3,-1.1653822034949606,0.25771623624572987,-2.2742456708784076,-0.056518736111513812,0.045586229466875315,0,0,0.13076169928251119,0.9367106495206714,-4.4399774650695694,2.1092130580796487,0.38810508610185579,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-1.16589187608;GSE234774:-1.01894656812;GSE304399:-1.2621975836,GSE162610:0.183923737728;GSE234774:0.182256530603;GSE304399:0.393715536668,0.40197865787962078
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_MYC_TARGETS_V1,3,-1.0748381024580205,0.29362085946885946,-2.3381866949630918,0.18851049004705089,0.067191433894926031,0,0,0.51661464871142437,0.77235783125639468,-4.8056448576809263,2.6559686527648858,0.50258165451257397,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-1.26877017565;GSE234774:-0.953233577121;GSE304399:-0.702060957982,GSE162610:0.171235137364;GSE234774:0.182256530603;GSE304399:0.836937417158,0.40197865787962078
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_MYC_TARGETS_V2,3,-1.2579275779749597,0.27403220511522119,-2.4369929933532308,-0.078862162596688767,0.044324709278430664,0,0,0.52250544219044981,0.7700862779735036,-4.7398368804743782,2.2239817245244593,0.40025013897691797,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-1.29564460442;GSE234774:-1.03189685535;GSE304399:-1.55058560972,GSE162610:0.171235137364;GSE234774:0.182256530603;GSE304399:0.393715536668,0.40197865787962078
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_TNFA_SIGNALING_VIA_NFKB,3,-0.65172141659349681,0.18572298116978658,-1.450822908500887,0.1473800753138933,0.07248996481440842,0,0,1.3266530871333047,0.51513486255223151,-3.0115556395495227,1.708112806362529,0.5803265410414461,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.591126770749;GSE234774:-1.00076585361;GSE304399:-0.505501311268,GSE162610:0.722105890193;GSE234774:0.147368392185;GSE304399:0.434584465437,0.40197865787962078
