scale,contrast_id,metric,observed,estimate,absolute_difference,matches_within_1e_12
gene,change_d7_minus_d1,all_study_sign_concordance_rate,0.44393712086621878,0.44393712086621873,5.5511151231257827e-17,True
gene,change_d7_minus_d1,mean_held_out_direction_accuracy,0.65425173395951564,0.65425173395951564,0,True
gene,change_d7_minus_d1,mean_pairwise_sign_concordance,0.62929141391081256,0.62929141391081245,1.1102230246251565e-16,True
gene,change_d7_minus_d1,mean_pairwise_spearman,0.40077622599941698,0.40077622599941681,1.6653345369377348e-16,True
gene,injury_d1_vs_uninjured,all_study_sign_concordance_rate,0.48979192485813061,0.48979192485813061,0,True
gene,injury_d1_vs_uninjured,mean_held_out_direction_accuracy,0.69162698671536971,0.69162698671536971,0,True
gene,injury_d1_vs_uninjured,mean_pairwise_sign_concordance,0.6598612832387537,0.65986128323875348,2.2204460492503131e-16,True
gene,injury_d1_vs_uninjured,mean_pairwise_spearman,0.43825680559211194,0.43825680559211178,1.6653345369377348e-16,True
gene,injury_d7_vs_uninjured,all_study_sign_concordance_rate,0.48744374143891461,0.48744374143891461,0,True
gene,injury_d7_vs_uninjured,mean_held_out_direction_accuracy,0.68369099645598241,0.68369099645598241,0,True
gene,injury_d7_vs_uninjured,mean_pairwise_sign_concordance,0.65829582762594308,0.65829582762594285,2.2204460492503131e-16,True
gene,injury_d7_vs_uninjured,mean_pairwise_spearman,0.43855494819961977,0.4385549481996196,1.6653345369377348e-16,True
program,change_d7_minus_d1,all_study_sign_concordance_rate,0.35999999999999999,0.35999999999999988,1.1102230246251565e-16,True
program,change_d7_minus_d1,mean_held_out_direction_accuracy,0.56666666666666676,0.56666666666666665,1.1102230246251565e-16,True
program,change_d7_minus_d1,mean_pairwise_sign_concordance,0.57333333333333325,0.57333333333333325,0,True
program,change_d7_minus_d1,mean_pairwise_spearman,0.51113245298119236,0.51113245298119225,1.1102230246251565e-16,True
program,injury_d1_vs_uninjured,all_study_sign_concordance_rate,0.81999999999999995,0.81999999999999995,0,True
program,injury_d1_vs_uninjured,mean_held_out_direction_accuracy,0.90000000000000002,0.90000000000000002,0,True
program,injury_d1_vs_uninjured,mean_pairwise_sign_concordance,0.87999999999999989,0.88000000000000012,2.2204460492503131e-16,True
program,injury_d1_vs_uninjured,mean_pairwise_spearman,0.70506602641056426,0.70506602641056415,1.1102230246251565e-16,True
program,injury_d7_vs_uninjured,all_study_sign_concordance_rate,0.81999999999999995,0.81999999999999995,0,True
program,injury_d7_vs_uninjured,mean_held_out_direction_accuracy,0.88666666666666671,0.88666666666666671,0,True
program,injury_d7_vs_uninjured,mean_pairwise_sign_concordance,0.88,0.88,0,True
program,injury_d7_vs_uninjured,mean_pairwise_spearman,0.59513405362144856,0.59513405362144856,0,True
