scale,contrast_id,metric,observed,n_features
gene,injury_d1_vs_uninjured,all_study_sign_concordance_rate,0.48979192485813061,15331
gene,injury_d1_vs_uninjured,mean_pairwise_sign_concordance,0.6598612832387537,15331
gene,injury_d1_vs_uninjured,mean_pairwise_spearman,0.43825680559211194,15331
gene,injury_d1_vs_uninjured,mean_held_out_direction_accuracy,0.69162698671536971,15331
gene,injury_d1_vs_uninjured,mean_pairwise_cohen_kappa,0.32006926314003264,15331
gene,injury_d1_vs_uninjured,fleiss_kappa,0.3196723866905552,15331
gene,injury_d1_vs_uninjured,mean_held_out_balanced_accuracy,0.69224025999139338,15331
gene,injury_d1_vs_uninjured,mean_held_out_mcc,0.3843205107400916,15331
gene,injury_d1_vs_uninjured,mean_agreeing_train_coverage,0.6598612832387537,15331
gene,injury_d1_vs_uninjured,mean_agreeing_train_conditional_accuracy,0.7425705527103803,15331
gene,injury_d7_vs_uninjured,all_study_sign_concordance_rate,0.48744374143891461,15331
gene,injury_d7_vs_uninjured,mean_pairwise_sign_concordance,0.65829582762594308,15331
gene,injury_d7_vs_uninjured,mean_pairwise_spearman,0.43855494819961977,15331
gene,injury_d7_vs_uninjured,mean_held_out_direction_accuracy,0.68369099645598241,15331
gene,injury_d7_vs_uninjured,mean_pairwise_cohen_kappa,0.31793238447238131,15331
gene,injury_d7_vs_uninjured,fleiss_kappa,0.31616635677981619,15331
gene,injury_d7_vs_uninjured,mean_held_out_balanced_accuracy,0.68533011056926363,15331
gene,injury_d7_vs_uninjured,mean_held_out_mcc,0.37024374726132403,15331
gene,injury_d7_vs_uninjured,mean_agreeing_train_coverage,0.65829582762594308,15331
gene,injury_d7_vs_uninjured,mean_agreeing_train_conditional_accuracy,0.74285278062742111,15331
gene,change_d7_minus_d1,all_study_sign_concordance_rate,0.44393712086621878,15331
gene,change_d7_minus_d1,mean_pairwise_sign_concordance,0.62929141391081256,15331
gene,change_d7_minus_d1,mean_pairwise_spearman,0.40077622599941698,15331
gene,change_d7_minus_d1,mean_held_out_direction_accuracy,0.65425173395951564,15331
gene,change_d7_minus_d1,mean_pairwise_cohen_kappa,0.25951328521878431,15331
gene,change_d7_minus_d1,fleiss_kappa,0.25857925242681135,15331
gene,change_d7_minus_d1,mean_held_out_balanced_accuracy,0.65450910489967651,15331
gene,change_d7_minus_d1,mean_held_out_mcc,0.3086085791395568,15331
gene,change_d7_minus_d1,mean_agreeing_train_coverage,0.62929141391081256,15331
gene,change_d7_minus_d1,mean_agreeing_train_conditional_accuracy,0.70651308144148761,15331
program,injury_d1_vs_uninjured,all_study_sign_concordance_rate,0.81999999999999995,50
program,injury_d1_vs_uninjured,mean_pairwise_sign_concordance,0.87999999999999989,50
program,injury_d1_vs_uninjured,mean_pairwise_spearman,0.70506602641056426,50
program,injury_d1_vs_uninjured,mean_held_out_direction_accuracy,0.90000000000000002,50
program,injury_d1_vs_uninjured,mean_pairwise_cohen_kappa,0.35408061529696627,50
program,injury_d1_vs_uninjured,fleiss_kappa,0.33333333333333376,50
program,injury_d1_vs_uninjured,mean_held_out_balanced_accuracy,0.79013002364066187,50
program,injury_d1_vs_uninjured,mean_held_out_mcc,0.50245353533056625,50
program,injury_d1_vs_uninjured,mean_agreeing_train_coverage,0.87999999999999989,50
program,injury_d1_vs_uninjured,mean_agreeing_train_conditional_accuracy,0.93400642460513816,50
program,injury_d7_vs_uninjured,all_study_sign_concordance_rate,0.81999999999999995,50
program,injury_d7_vs_uninjured,mean_pairwise_sign_concordance,0.88,50
program,injury_d7_vs_uninjured,mean_pairwise_spearman,0.59513405362144856,50
program,injury_d7_vs_uninjured,mean_held_out_direction_accuracy,0.88666666666666671,50
program,injury_d7_vs_uninjured,mean_pairwise_cohen_kappa,0.25947525797175708,50
program,injury_d7_vs_uninjured,fleiss_kappa,0.24199887703537321,50
program,injury_d7_vs_uninjured,mean_held_out_balanced_accuracy,0.74818154652041702,50
program,injury_d7_vs_uninjured,mean_held_out_mcc,0.35920283036882789,50
program,injury_d7_vs_uninjured,mean_agreeing_train_coverage,0.88,50
program,injury_d7_vs_uninjured,mean_agreeing_train_conditional_accuracy,0.93310433527824832,50
program,change_d7_minus_d1,all_study_sign_concordance_rate,0.35999999999999999,50
program,change_d7_minus_d1,mean_pairwise_sign_concordance,0.57333333333333325,50
program,change_d7_minus_d1,mean_pairwise_spearman,0.51113245298119236,50
program,change_d7_minus_d1,mean_held_out_direction_accuracy,0.56666666666666676,50
program,change_d7_minus_d1,mean_pairwise_cohen_kappa,0.22230802230802227,50
program,change_d7_minus_d1,fleiss_kappa,0.12790697674418575,50
program,change_d7_minus_d1,mean_held_out_balanced_accuracy,0.66215983363042186,50
program,change_d7_minus_d1,mean_held_out_mcc,0.29504509389459815,50
program,change_d7_minus_d1,mean_agreeing_train_coverage,0.57333333333333325,50
program,change_d7_minus_d1,mean_agreeing_train_conditional_accuracy,0.65927750410509034,50
