scale,contrast_id,metric,observed,n_features,n_permutations,null_median,null_q025,null_q975,empirical_p_null_ge_observed,null_interpretation
gene,injury_d1_vs_uninjured,all_study_sign_concordance_rate,0.48979192485813061,15331,10000,0.249559715608897,0.24277607462005088,0.25634335659774315,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d1_vs_uninjured,mean_pairwise_sign_concordance,0.6598612832387537,15331,10000,0.49970647707259802,0.49518404974670061,0.50422890439849544,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d1_vs_uninjured,mean_pairwise_spearman,0.43825680559211194,15331,10000,-8.297209738879785e-05,-0.0091113644691086446,0.0090899083872699026,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d1_vs_uninjured,mean_held_out_direction_accuracy,0.69162698671536971,15331,10000,0.49938034048659574,0.49353108081664598,0.50531602635183603,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d1_vs_uninjured,mean_pairwise_cohen_kappa,0.32006926314003264,15331,10000,-4.2975395475398592e-05,-0.0090752231905661552,0.0090058464047990169,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d1_vs_uninjured,fleiss_kappa,0.3196723866905552,15331,10000,-0.00066085286693443187,-0.0097063747007597075,0.0083846689668909558,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d1_vs_uninjured,mean_held_out_balanced_accuracy,0.69224025999139338,15331,10000,0.49995766526503582,0.49409251479824157,0.50587173515061257,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d1_vs_uninjured,mean_held_out_mcc,0.3843205107400916,15331,10000,-8.4013376077474687e-05,-0.011824740713262019,0.011746328371945764,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d1_vs_uninjured,mean_agreeing_train_coverage,0.6598612832387537,15331,10000,0.49970647707259802,0.49518404974670061,0.50422890439849544,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d1_vs_uninjured,mean_agreeing_train_conditional_accuracy,0.7425705527103803,15331,10000,0.49942430954902095,0.49032223808911657,0.50843608678962637,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d7_vs_uninjured,all_study_sign_concordance_rate,0.48744374143891461,15331,10000,0.24890744243689258,0.24199334681364557,0.25575631074293914,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d7_vs_uninjured,mean_pairwise_sign_concordance,0.65829582762594308,15331,10000,0.4992716282912617,0.49466223120909708,0.50383754049529272,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
