scale,contrast_id,dataset,n_features,n_positive,n_negative,n_zero,positive_proportion,negative_proportion,zero_proportion
gene,injury_d1_vs_uninjured,GSE162610,15331,7399,7932,0,0.4826169199660818,0.5173830800339182,0
gene,injury_d1_vs_uninjured,GSE234774,15331,7981,7350,0,0.52057921857673994,0.47942078142326006,0
gene,injury_d1_vs_uninjured,GSE304399,15331,7419,7912,0,0.48392146631009064,0.5160785336899093,0
gene,injury_d7_vs_uninjured,GSE162610,15331,7250,8081,0,0.47289804970321569,0.52710195029678431,0
gene,injury_d7_vs_uninjured,GSE234774,15331,8506,6825,0,0.55482356010697276,0.44517643989302719,0
gene,injury_d7_vs_uninjured,GSE304399,15331,7814,7517,0,0.50968625660426592,0.49031374339573414,0
gene,change_d7_minus_d1,GSE162610,15331,7206,8125,0,0.47002804774639617,0.52997195225360383,0
gene,change_d7_minus_d1,GSE234774,15331,7564,7767,0,0.49337942730415496,0.50662057269584504,0
gene,change_d7_minus_d1,GSE304399,15331,8176,7155,0,0.53329854543082644,0.46670145456917356,0
program,injury_d1_vs_uninjured,GSE162610,50,40,10,0,0.80000000000000004,0.20000000000000001,0
program,injury_d1_vs_uninjured,GSE234774,50,48,2,0,0.95999999999999996,0.040000000000000001,0
program,injury_d1_vs_uninjured,GSE304399,50,47,3,0,0.93999999999999995,0.059999999999999998,0
program,injury_d7_vs_uninjured,GSE162610,50,43,7,0,0.85999999999999999,0.14000000000000001,0
program,injury_d7_vs_uninjured,GSE234774,50,45,5,0,0.90000000000000002,0.10000000000000001,0
program,injury_d7_vs_uninjured,GSE304399,50,49,1,0,0.97999999999999998,0.02,0
program,change_d7_minus_d1,GSE162610,50,25,25,0,0.5,0.5,0
program,change_d7_minus_d1,GSE234774,50,6,44,0,0.12,0.88,0
program,change_d7_minus_d1,GSE304399,50,33,17,0,0.66000000000000003,0.34000000000000002,0
