"repository_path","original_project_path","sha256","language","analysis_role","reported_outputs","figure_or_table","seed_if_applicable","authoritative_basis","status","notes"
"scripts/00_build_sample_metadata.py","scripts/00_build_sample_metadata.py","44391c70d66c73ba6172609dbc13b8c7c9632eaaf2828b8b5c7664c05004d329","Python","Build auditable sample-level metadata from frozen GEO check records","data/Supplementary_Table_S1_Analytical_Samples.csv; data/GSE205029_wt_sample_eligibility.csv","Table S1","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/03b_qc_pseudobulk.py","scripts/03b_qc_pseudobulk.py","a1572004a91d0b55849da1b6a799b2ac90e773b3e491989a37bd9b660b73213e","Python","Dataset-aware QC, canonical sample crosswalk, sparse pseudobulk","data_processed/*/pseudobulk_coldata.tsv; QA flags","Fig S1; Table S1","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/03c_harmonize_pseudobulk.py","scripts/03c_harmonize_pseudobulk.py","043b2a2f3ae772223320d599dfdefa84d2b1da0dcda2eabf121633ab7bfee6df","Python","Aggregate author-state pseudobulk counts before differential expression","pseudobulk aggregated matrices","Fig S1","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/05_pseudobulk_DE.R","scripts/05_pseudobulk_DE.R","a19583492a61fcd891e19bac7e68a4300853e67e54d4c7e427e9275a32d3fdb8","R","No-intercept group design DE (edgeR/limma voom) per dataset x state","results/whole_lesion/effects_GSE*.tsv","Fig 1; Tables S1-S3 numerical source stages","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/06_meta_analysis.py","scripts/06_meta_analysis.py","affc9e7d654eb3789c6a68f51c6e4a6c863b57ef52f8eb4353ffc64de0d6e6fd","Python","Comparability-aware REML random-effects meta-analysis","data/gsema_mkh_random_effects.csv (via 25); meta summaries","Fig 4; Fig 5","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/06e_hallmark_gsea.py","scripts/06e_hallmark_gsea.py","a5cb82e79230b3deb04cbcf3059adf80ba2dd9423499c9cc6a6a80aff496ef25","Python","Secondary Hallmark GSEA for whole-lesion branch","data/hallmark_gsea_by_study.csv","Fig 4; Fig 5","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/06f_leading_edge_replicability.py","scripts/06f_leading_edge_replicability.py","6dce5f9cc240b522e8575c855a569cff1542bfd18ff5b3780581d566620211d6","Python","Audit cross-study leading-edge reproducibility of Hallmark hits","data/leading_edge_pairwise_calibrated.csv","Fig 5; Fig S5","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/10_metaneighbor_replicability.R","scripts/10_metaneighbor_replicability.R","ec8e9b95b545df978ae8b91fcea8fc706b7c5636879e495e8183d851d9cff51d","R","MetaNeighbor cell-type replicability audit","replicability audit outputs","audit-only; not current Fig S5","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/17_audit_geo_candidates.py","scripts/17_audit_geo_candidates.py","5eb1df4c196113ca71d746b2eb05c4f84437ac77f791f2328815f6aafa55cfe6","Python","Audit five recent SCI single-cell GEO candidates from SOFT files","data/GSE304361_program_support_summary.csv; candidate audit","Table S2","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/21_reproducibility_metric_calibration.py","scripts/21_reproducibility_metric_calibration.py","3f4ce844e66108e99ffa2bc3294b96a358a71e7faa8a60658e1c16c42b3a4ce6","Python","Align descriptive reproducibility metrics for gene/Hallmark scales","data/estimability_matrix.csv; data/equal_feature_count_diagnostic.csv; data/gene_program_metric_comparison.csv","Fig 1; Fig S2; Fig S3","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
