series,gsm,group,filename,compressed_bytes,sha256,redistributed_in_online_resource_2
GSE47681,GSM1154538,SHAMWT,GSM1154538_Dorsey-Mouse430-S34_27NavWT1.CEL.gz,3715928,e80053cfea39486f4e9b271809ad9dea88d05c0fa16bfa7aea2aa7c6cfab5e0a,false
GSE47681,GSM1154539,SHAMWT,GSM1154539_Dorsey-Mouse430-S34_28NavWT2.CEL.gz,3702917,64030e76c71a35f4d111d5d285338d780d9e1e9e735c6223eb6bb9fbabe66dba,false
GSE47681,GSM1154540,SHAMWT,GSM1154540_Dorsey-Mouse430-S34_29NavWT3.CEL.gz,3648361,52f01dab312231dd6113320bc35293b6c3afb8f188fc605050c2efd433dce3a5,false
GSE47681,GSM1154542,SHAMWT,GSM1154542_Dorsey-Mouse430-S34_30NavWT4.CEL.gz,3697548,2ca0a8e5860c47e9198006f9060bc29c9f02d0a973201322a06cb0410ead5872,false
GSE47681,GSM1154530,DAY1WT,GSM1154530_Dorsey_Mouse430-S34_1-D1WT36.CEL.gz,3681906,28788b8af7587912fc1f822442a97f37e4e17e37f8ab958dcff0ff6dfd5adbaf,false
GSE47681,GSM1154541,DAY1WT,GSM1154541_Dorsey_Mouse430-S34_2-D1WT37.CEL.gz,3763774,bd58f0ec0b9face4e1f1f1088d5996060f2db61ed4336b5f0c498f2db722f376,false
GSE47681,GSM1154547,DAY1WT,GSM1154547_Dorsey_Mouse430-S34_3-D1WT38.CEL.gz,3735848,63d92f5c0cabf2eeca56427e12fd39f4009b493f87c7f81a80d3c5529bf0f7ab,false
GSE47681,GSM1154548,DAY1WT,GSM1154548_Dorsey_Mouse430-S34_4-D1WT39.CEL.gz,3700691,64e7a6e953979201f9ff3a7c9249d17b3882b6730724e195707aff7b593e73d4,false
GSE47681,GSM1154549,DAY1WT,GSM1154549_Dorsey_Mouse430-S34_5-D1WT42.CEL.gz,3703586,f83f92a99901bb665473c8901b6623cf7fc0d446110982d8381a721c013a6800,false
GSE47681,GSM1154529,DAY7WT,GSM1154529_Dorsey_Mouse430-S34_19-D7WT28.CEL.gz,3702427,336c948b95a2feb8c5b1b727667e6eecad078c0aaee6319704c5f516df889079,false
GSE47681,GSM1154531,DAY7WT,GSM1154531_Dorsey_Mouse430-S34_20-D7WT29.CEL.gz,3681442,6da1b14f7ac420c58976dee8c5d97c7220ca63aafb7e95c1569ad1638da39514,false
GSE47681,GSM1154532,DAY7WT,GSM1154532_Dorsey_Mouse430-S34_21-D7WT31.CEL.gz,3679080,138fcfa30e929ebb8404c779f8490e1b0502baa561adfb16e0958d28c10a15ef,false
GSE47681,GSM1154533,DAY7WT,GSM1154533_Dorsey_Mouse430-S34_22-D7WT43.CEL.gz,3677459,b522f710b0c89d0d5e48e0efff414b69295eaff7a21549cb1506fa7ad973f22b,false
