dataset,geo_record,analytical_sample_id,sample_alias,group,dpi,genotype,inferential_unit,animal_pool_library_relation,technical_partition_handling,analysis_role,retained_cells,source_status
GSE162610,GSM4955359,GSM4955359,uninj_sample1,uninjured,0,wild type/not otherwise specified,distinct deposited sample library,Group-level source reporting: 5 mice -> 3 libraries at uninjured/day 1; 3 mice -> 2 libraries at day 7; per-library mapping unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,2689,geo_title_verified
GSE162610,GSM4955360,GSM4955360,uninj_sample2,uninjured,0,wild type/not otherwise specified,distinct deposited sample library,Group-level source reporting: 5 mice -> 3 libraries at uninjured/day 1; 3 mice -> 2 libraries at day 7; per-library mapping unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,971,geo_title_verified
GSE162610,GSM4955361,GSM4955361,uninj_sample3,uninjured,0,wild type/not otherwise specified,distinct deposited sample library,Group-level source reporting: 5 mice -> 3 libraries at uninjured/day 1; 3 mice -> 2 libraries at day 7; per-library mapping unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,8693,geo_title_verified
GSE162610,GSM4955362,GSM4955362,1dpi_sample1,dpi_1,1,wild type/not otherwise specified,distinct deposited sample library,Group-level source reporting: 5 mice -> 3 libraries at uninjured/day 1; 3 mice -> 2 libraries at day 7; per-library mapping unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,7341,geo_title_verified
GSE162610,GSM4955363,GSM4955363,1dpi_sample2,dpi_1,1,wild type/not otherwise specified,distinct deposited sample library,Group-level source reporting: 5 mice -> 3 libraries at uninjured/day 1; 3 mice -> 2 libraries at day 7; per-library mapping unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,5180,geo_title_verified
GSE162610,GSM4955364,GSM4955364,1dpi_sample3,dpi_1,1,wild type/not otherwise specified,distinct deposited sample library,Group-level source reporting: 5 mice -> 3 libraries at uninjured/day 1; 3 mice -> 2 libraries at day 7; per-library mapping unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,8459,geo_title_verified
GSE162610,GSM4955367,GSM4955367,7dpi_sample1,dpi_7,7,wild type/not otherwise specified,distinct deposited sample library,Group-level source reporting: 5 mice -> 3 libraries at uninjured/day 1; 3 mice -> 2 libraries at day 7; per-library mapping unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,7449,geo_title_verified
GSE162610,GSM4955368,GSM4955368,7dpi_sample2,dpi_7,7,wild type/not otherwise specified,distinct deposited sample library,Group-level source reporting: 5 mice -> 3 libraries at uninjured/day 1; 3 mice -> 2 libraries at day 7; per-library mapping unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,7705,geo_title_verified
GSE234774,GSM7474501,GSM7474501,"Mid thoracic spinal cord, uninjured_2 (rnaseq)",uninjured,0,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported in deposited metadata.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,10110,full_metadata_verified
GSE234774,GSM7474502,GSM7474502,"Mid thoracic spinal cord, uninjured_3 (rnaseq)",uninjured,0,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported in deposited metadata.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,6769,full_metadata_verified
GSE234774,GSM7474503,GSM7474503,"Mid thoracic spinal cord, uninjured_10 (rnaseq)",uninjured,0,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported in deposited metadata.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,6455,full_metadata_verified
GSE234774,GSM7474475,GSM7474475,"Mid thoracic spinal cord, timecourse_1d_2 (rnaseq)",dpi_1,1,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported in deposited metadata.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,2281,geo_title_verified
GSE234774,GSM7474482,GSM7474482,"Mid thoracic spinal cord, timecourse_1d_3 (rnaseq)",dpi_1,1,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported in deposited metadata.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,1080,geo_title_verified
GSE234774,GSM7474483,GSM7474483,"Mid thoracic spinal cord, timecourse_1d_8 (rnaseq)",dpi_1,1,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported in deposited metadata.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,2935,geo_title_verified
GSE234774,GSM7474487,GSM7474487,"Mid thoracic spinal cord, timecourse_7d_4 (rnaseq)",dpi_7,7,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported in deposited metadata.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,10183,geo_title_verified
GSE234774,GSM7474488,GSM7474488,"Mid thoracic spinal cord, timecourse_7d_9 (rnaseq)",dpi_7,7,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported in deposited metadata.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis; initial broad-lineage analysis,6989,geo_title_verified
GSE304399,GSM9149954,GSE304399_ALL_U_1,"Unsorted, Uninjured, rep1, GEX",uninjured,0,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported; barcode-level state labels unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis,2079,geo_title_verified
GSE304399,GSM9149955,GSE304399_ALL_U_2,"Unsorted, Uninjured, rep2, GEX",uninjured,0,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported; barcode-level state labels unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis,5283,geo_title_verified
GSE304399,GSM9149956,GSE304399_ALL_U_3,"Unsorted, Uninjured, rep3, GEX",uninjured,0,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported; barcode-level state labels unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis,816,geo_title_verified
GSE304399,GSM9149957,GSE304399_ALL_1dpi_1,"Unsorted, 1dpi, rep1, GEX",dpi_1,1,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported; barcode-level state labels unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis,4382,geo_title_verified
GSE304399,GSM9149958,GSE304399_ALL_1dpi_2,"Unsorted, 1dpi, rep2, GEX",dpi_1,1,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported; barcode-level state labels unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis,5775,geo_title_verified
GSE304399,GSM9149959,GSE304399_ALL_1dpi_3,"Unsorted, 1dpi, rep3, GEX",dpi_1,1,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported; barcode-level state labels unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis,815,geo_title_verified
GSE304399,GSM9149961,GSE304399_ALL_7dpi_1,"Unsorted, 7dpi, rep1, GEX",dpi_7,7,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported; barcode-level state labels unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis,2718,geo_title_verified
