dataset,tissue_context,final_role,included_contrasts,exclusion_or_boundary,source_publication_or_GEO_record
GSE162610,lesion site,initial broad-lineage; secondary three-study all-state aggregate analysis,"day 1, day 7, cross-sectional day 7 vs day 1",none for aligned contrasts,GEO series record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162610
GSE234774,mid-thoracic lesion site,initial broad-lineage; secondary three-study all-state aggregate analysis,"day 1, day 7, cross-sectional day 7 vs day 1",only the unmanipulated time-course arm was used,GEO series record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234774
GSE304399,lesion site,secondary three-study all-state aggregate analysis,"day 1, day 7, cross-sectional day 7 vs day 1",barcode-level state labels unavailable; composition and lineage analyses not evaluable,GEO series record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304399
GSE304361,lesion site,additional endpoint and genotype-context evaluation,day 7 vs uninjured; Plexin-B1 genotype-by-injury,no day-1 group; not a temporal test,GEO series record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304361
GSE205029,dorsal-column lesion core/perilesional spinal cord,candidate temporal-context dataset; excluded before expression modeling,none,WT day-1 eligible n=1 after retained-cell criterion; one-cell library and conflicting processed-file time label,GEO series record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205029
GSE159638,myeloid-focused lesion-site study,historical sensitivity audit only,none in final cross-study synthesis,time and batch are confounded,GEO series record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159638
GSE172167,remote lumbar spinal cord after thoracic injury,excluded from final lesion-site inference,none in final manuscript,"tissue compartment does not match the lesion-site estimand; historical processing disclosed, no result used",GEO series record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172167
GSE240727,lesion-site immune time course,metadata eligibility audit only,none,one condition-level library per endpoint; sample-unit count insufficient for temporal comparison,GEO series record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240727
GSE247844,chronic lesion-site astrocytes,metadata eligibility audit only,none,day-28 endpoint only; no day 1 or day 7,GEO series record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247844
GSE275982,chronic lesion-site T-cell/age context,metadata eligibility audit only,none,day-28 injury groups only; paired GEX/TCR assays are not independent,GEO series record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275982
GSE298545,aged day-3 lesion and spatial context,metadata eligibility audit only,none,day 3 only; new young arm n=1 per endpoint and libraries pool two animals,GEO series record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE298545
GSE47681,moderate thoracic contusion lesion site,orthogonal cross-platform context evaluation,WT day 1 vs sham; WT day 7 vs sham; cross-sectional WT day 7 vs day 1,"not pooled with discovery datasets; Affymetrix platform, sham baseline and trkB.T1 study context",GEO series record: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47681
